datetime,stock_code,stock_name,action,volume,price,amount,account_id,source
2025-01-06,601666,平煤股份,BUY,3000,9.48,28440.0,A,模拟账户A
2025-01-06,002327,富安娜,BUY,3200,8.65,27680.0,A,模拟账户A
2025-01-07,002327,富安娜,SELL,3000,9.2,27599.999999999996,A,模拟账户A
2025-01-08,600507,方大特钢,BUY,5000,3.93,19650.0,A,模拟账户A
2025-01-08,002327,富安娜,BUY,3100,8.86,27466.0,A,模拟账户A
2025-01-10,601666,平煤股份,BUY,3000,8.98,26940.0,A,模拟账户A
2025-01-13,600507,方大特钢,SELL,5000,4.14,20700.0,A,模拟账户A
2025-01-14,600507,方大特钢,SELL,5000,4.27,21349.999999999996,A,模拟账户A
2025-01-14,601666,平煤股份,BUY,3100,8.96,27776.000000000004,A,模拟账户A
2025-01-17,601666,平煤股份,SELL,3000,9.05,27150.000000000004,A,模拟账户A
2025-01-20,600188,兖矿能源,BUY,2000,13.37,26740.0,A,模拟账户A
2025-01-21,002327,富安娜,BUY,3000,8.73,26190.0,A,模拟账户A
2025-01-24,600256,广汇能源,BUY,4000,6.04,24160.0,A,模拟账户A
2025-01-24,002327,富安娜,BUY,3000,8.68,26040.0,A,模拟账户A
2025-01-27,601666,平煤股份,SELL,3000,9.05,27150.000000000004,A,模拟账户A
2025-02-06,002327,富安娜,BUY,3000,8.58,25740.0,A,模拟账户A
2025-02-10,002327,富安娜,SELL,3000,8.83,26490.0,A,模拟账户A
2025-02-13,600256,广汇能源,SELL,4000,6.22,24880.0,A,模拟账户A
2025-02-24,002327,富安娜,BUY,4000,8.13,32520.000000000004,A,模拟账户A
2025-02-27,601666,平煤股份,BUY,3000,8.7,26099.999999999996,A,模拟账户A
2025-03-05,601666,平煤股份,BUY,3000,8.36,25080.0,A,模拟账户A
2025-03-06,601666,平煤股份,SELL,3000,8.49,25470.0,A,模拟账户A
2025-03-06,600507,方大特钢,SELL,5000,4.37,21850.0,A,模拟账户A
2025-03-11,600256,广汇能源,BUY,3200,6.23,19936.0,A,模拟账户A
2025-03-14,002327,富安娜,SELL,3000,8.35,25050.0,A,模拟账户A
2025-03-14,600188,兖矿能源,SELL,2000,13.6,27200.0,A,模拟账户A
2025-03-14,601666,平煤股份,SELL,3000,8.94,26820.0,A,模拟账户A
2025-03-14,600256,广汇能源,SELL,3200,6.28,20096.0,A,模拟账户A
2025-03-17,002327,富安娜,SELL,3000,8.53,25589.999999999996,A,模拟账户A
2025-03-21,002327,富安娜,BUY,3300,8.38,27654.000000000004,A,模拟账户A
2025-03-27,601666,平煤股份,SELL,3000,8.82,26460.0,A,模拟账户A
