account,rank,strategy,phase1_rank,phase2_rank,phase1_similarity,phase2_similarity
Account_A,1,煤炭周期优选动态轮动策略,1,1,0.2861141276095922,0.9965416193008423
Account_A,2,成长红利量化选股,3,5,0.2255873183642758,0.9792376756668091
Account_A,3,杠铃,2,7,0.26438923700228295,0.9503841400146484
Account_A,4,化工ETF优选策略,6,4,0.1248950886298956,0.98607337474823
Account_A,5,食品etf增强,11,3,-0.0061670328839443156,0.9902862310409546
Account_B,1,行业etf增强,1,3,0.3955726105841043,0.9643230438232422
Account_B,2,动量趋势策略,3,2,0.35655655949725923,0.9745169878005981
Account_B,3,综合全,2,7,0.35842581405043134,0.9476625919342041
Account_B,4,综合拆分1,5,5,0.3003923553371587,0.9566128253936768
Account_B,5,etf动量改,7,4,0.23050453799869006,0.9600285887718201
Account_C,1,中证1000增强,1,1,0.33680528167637475,0.8704929947853088
Account_C,2,etf动量改,2,6,0.2732117337951642,0.8003643155097961
Account_C,3,综合全,3,5,0.25788615061228254,0.8124772310256958
Account_C,4,行业etf增强,6,3,0.20342467361796712,0.8218570351600647
Account_C,5,综合拆分2,7,2,0.202898295777069,0.8307622671127319
