name,turnover,holding_period_days,concentration_hhi,buy_sell_symmetry,volatility_pref,ind_交通运输,ind_传媒,ind_公用事业,ind_农林牧渔,ind_化工,ind_医药生物,ind_商贸零售,ind_国防军工,ind_基础化工,ind_家用电器,ind_建筑材料,ind_建筑装饰,ind_房地产,ind_有色金属,ind_机械设备,ind_汽车,ind_煤炭,ind_环保,ind_电力设备,ind_电子,ind_石油石化,ind_社会服务,ind_纺织服饰,ind_综合,ind_美容护理,ind_计算机,ind_轻工制造,ind_通信,ind_钢铁,ind_银行,ind_非银金融,ind_食品饮料
sim_acct_0000,5.568897884428048,85.61404837250065,0.46104085215621426,0.41913089207350485,0.08714390076036152,0.2277842160089638,1.396287310226704e-16,7.114999514887519e-27,1.935979854876963e-28,7.037052278277095e-34,3.777024468330342e-97,0.00031208144335190334,1.539533194890616e-59,3.3635454138876524e-69,2.6211520382215805e-10,3.643233796367507e-53,4.229764656940475e-22,2.879957903121947e-16,8.791712861681592e-25,1.1362598153466526e-53,5.207212560988084e-51,0.4915731111036774,7.053076464476849e-22,3.3164977316389507e-34,9.88973504636882e-63,0.06712711558982501,4.018839980355555e-39,0.139900502322827,5.917198108584743e-20,1.3753570219835454e-10,1.9132923337703924e-25,2.333387750772407e-62,4.878661040730993e-49,0.003484195472143544,5.128015486514572e-05,8.81336990968419e-50,0.06976749750469487
sim_acct_0001,72.03286065518455,3.026235324534535,0.31276155927135546,0.477258296858422,0.12146736287174091,0.11526565493365824,4.313835742687044e-62,3.1528468325570595e-12,3.5183308105938003e-07,5.6720430385592224e-30,3.109008596422978e-21,7.067870043149434e-05,0.04888317940030352,3.406529758197803e-95,2.5183506920993757e-81,7.094948664576865e-09,0.09787595435703642,1.013849690168324e-70,0.3662534338391859,4.352064191978014e-06,0.32698855252286535,1.5867765528032143e-36,3.2136937560276393e-15,0.0019819434315221105,0.012730815415865565,1.1119077673282164e-06,0.001328990565843254,6.516093725868584e-15,8.624718606761225e-61,0.00017042645360486566,0.022838667898443594,3.4260634604710733e-46,0.0014249513981072178,7.555644235228808e-08,1.16220392656828e-33,0.004180852623538531,8.828280997904572e-60
sim_acct_0002,41.867235269566514,7.094110462754585,0.31731746609238454,0.4509905431248561,0.027423798314457435,1.406845624889569e-61,0.010823389089656665,5.2455079732613075e-25,5.055854979069562e-28,8.679549895736241e-39,5.559290371071711e-07,1.4412698196675137e-19,4.904315866078116e-07,0.3306806352325343,1.3304119985421303e-19,0.045062147339874674,2.4593233052872044e-18,1.19698237374135e-59,0.04375963928835101,0.0028810005639947726,8.012216464110655e-18,3.7546891868456755e-12,3.827833153962866e-29,0.10229711430031112,0.21707904789117605,0.24636883670697113,3.0184438563004094e-08,2.781494933583126e-10,4.981520577385467e-14,3.391586832899655e-70,0.0010461621442109088,1.997159098860602e-31,5.136124007895687e-34,4.861553759501412e-14,6.282588118243722e-66,3.845569780533688e-51,9.506158544929577e-07
sim_acct_0003,7.903129662682168,63.740518350978995,0.4072567514198731,0.5702044556086793,0.09054479637707769,0.14012902268937694,0.0023391514999467162,1.3916221430042155e-119,7.520657012465132e-25,0.00031981520452256353,1.3007629937077112e-57,0.19547165654103663,1.700709347595685e-20,8.844614834195332e-86,6.370151150045128e-36,2.1002134202496952e-87,3.2984868188604102e-15,1.2267014060371e-14,2.4924866176431353e-48,2.6026760923055306e-19,1.3664631108324234e-92,0.05816023277245597,1.0960479589971254e-113,1.1387910423970507e-63,1.594359269321598e-11,0.05119208455020175,2.5433963151985392e-76,0.484094971409005,4.072748780238636e-13,1.7929380149833963e-39,1.881604726523533e-56,2.3666588215439733e-07,7.899916708528837e-21,0.04200650987276596,0.02628631877843997,1.261455573808312e-58,6.181671190766872e-39
sim_acct_0004,97.52074646245781,3.363059047155688,0.4725297328949386,0.4247599191233045,0.1145194316253154,3.680274548275666e-22,0.024341216281503195,1.3244567657305786e-06,1.0671503949098543e-105,1.706937753945681e-15,4.043369059905438e-13,0.0004312716130094555,0.002087064583837223,2.4879563043001963e-52,6.230276968047479e-61,8.273531298611988e-06,0.0001035439117815127,8.908361466489821e-38,0.5774724566251387,9.565555977063629e-10,4.214420139135606e-10,1.0351580996048743e-62,1.6896409029914696e-108,0.15974960160137908,0.0006124219819533263,5.939400299834925e-05,3.631980638798792e-05,6.071054305354892e-18,8.114615883099441e-31,9.323877658197044e-81,0.0011895569513625612,8.385644276384579e-07,3.2269028314102125e-14,5.380436499547844e-22,5.840356619420882e-52,0.23390671470972071,1.628241987483704e-24
sim_acct_0005,36.12929387886696,9.766352514092127,0.40699998672187104,0.4090907207699917,0.03152152765681899,5.953007624159047e-21,0.006804064473310572,1.043331132294273e-20,1.3105885192105228e-05,9.512684013894994e-63,8.358619372192817e-09,2.82209211765978e-20,6.334104354023408e-05,0.2107076524104471,4.531709730267206e-115,0.00010089528501672569,1.0127691623269577e-39,3.8758925424107696e-19,0.001052099908249808,0.2130081382232863,0.037279192106971115,8.608563329780372e-05,0.010928479332051856,0.07548152736529011,0.22997481251209587,0.20387131276580772,2.8422301861615066e-42,3.8302304333506676e-75,2.4087345279458105e-23,8.474352609559931e-43,0.010607767177276264,6.803720415974646e-08,1.51660334227543e-43,1.1423926296749407e-12,3.0002232818502966e-96,2.1449481161367315e-05,3.915656744526734e-14
sim_acct_0006,4.683798720493474,56.787114860212476,0.6298032572828419,0.4098506191225993,0.0594967992473397,0.3022739108316663,7.2420025023304475e-71,6.69077341221212e-225,6.740501391381255e-107,2.868436161947366e-21,5.0498436867899296e-12,0.004288554808472599,1.2378138104332113e-10,8.122537752795567e-10,4.108638164021912e-21,2.9827524427119734e-23,1.499853158544454e-18,0.00010216897514614656,1.6690844488549376e-68,1.0565924483842773e-53,3.0808488502442975e-42,0.20156298612476584,2.0984863558071847e-60,3.598999920961589e-26,0.0077973023374221595,0.17872726263448235,5.936878521360639e-183,0.3037976388515585,4.137854179428644e-06,3.201483299185676e-26,2.6717240232704013e-22,6.114701141922239e-43,6.882107274662571e-97,1.207918302926838e-08,0.001446024561982387,1.4204110854661203e-27,5.628019549093636e-14
sim_acct_0007,95.20443716668629,2.7160457771454882,0.29739694859168275,0.5064829246338357,0.12313708164176106,0.00026572851856923623,1.2818568386540788e-60,0.0004890482814123351,1.7020060042824986e-48,2.621508000633359e-12,0.003671405324868435,0.005364174346365085,0.026560189350911468,2.376845229377952e-28,0.20061454471449472,0.0056077427995895246,0.0011808836912675011,2.1175083602540696e-108,0.512616761795463,0.006350743652075899,0.0005285121757704344,1.2925372563576757e-53,4.565078086726e-79,0.003646995114618028,0.0029629139096304653,3.5377926112402725e-23,8.953878220173455e-26,9.328546740496647e-14,2.3185246058445273e-207,5.234336957118779e-21,0.03467321059915163,2.3704534674915125e-47,7.647861039337879e-52,5.643918479512298e-15,2.4521228661751536e-06,0.19546469355916923,4.105619772031544e-11
sim_acct_0008,37.44881293168716,9.189065703361212,0.4255924661681253,0.4465538847709219,0.029459507541147345,5.777571188379286e-99,0.0005991563790444888,4.0865736542441294e-10,2.8418909864519688e-46,2.0886271921045856e-18,0.08849525914383007,0.0003444593859816606,0.12644570845375175,0.09535778137262872,4.268251900387845e-15,2.2208256740306244e-129,9.369002254491242e-06,9.703632878670934e-10,0.255883553935665,0.06997532128570574,1.7471802502552676e-09,5.834464389010954e-09,2.8753423071156835e-21,0.04872088493854363,0.14934001679218054,0.03595294077774402,1.0826468203678483e-32,7.609302484782799e-97,1.9823117300335168e-13,9.70198996518279e-50,0.1288713842318328,6.241169177817769e-23,6.899191586593497e-78,1.6998887323164435e-135,3.578199699845044e-101,5.275178579041623e-46,4.155339969271086e-06
sim_acct_0009,5.399680392694199,46.823914711996466,0.5333372524376889,0.494644348993075,0.08332863816860164,0.08612496794052865,1.8970948462533252e-94,1.3824352578418176e-50,2.161391109473893e-16,2.991518319156612e-28,4.49363616210454e-46,0.06758073102823672,0.003737393174219388,3.6655856067544394e-29,4.05166479779394e-80,1.0079214964388192e-07,6.452124610728841e-26,9.030313972440577e-14,9.62789603966799e-23,2.757316340943304e-06,0.00040873566143644297,0.13249668589581146,2.3545734162726973e-07,1.0665807436459845e-46,9.274419485682512e-13,0.4717869166745052,1.4053625677957327e-165,0.07172838639087682,5.0081051463514885e-65,4.676894384005815e-11,2.58175939004299e-177,0.15890816907776847,0.0027996744875937586,1.5665635381072713e-05,0.004409518413606177,6.20064168772972e-08,3.930743356343681e-18
