name,turnover,holding_period_days,concentration_hhi,buy_sell_symmetry,volatility_pref,ind_交通运输,ind_传媒,ind_公用事业,ind_农林牧渔,ind_化工,ind_医药生物,ind_商贸零售,ind_国防军工,ind_基础化工,ind_家用电器,ind_建筑材料,ind_建筑装饰,ind_房地产,ind_有色金属,ind_机械设备,ind_汽车,ind_煤炭,ind_环保,ind_电力设备,ind_电子,ind_石油石化,ind_社会服务,ind_纺织服饰,ind_综合,ind_美容护理,ind_计算机,ind_轻工制造,ind_通信,ind_钢铁,ind_银行,ind_非银金融,ind_食品饮料
etf动量改,21.415516864578716,16.118570433214476,0.534757981286863,0.49985839678074623,0.11543196243621252,1.1924115614023722e-07,1.1924115614023722e-07,1.1924115614023722e-07,1.1924115614023722e-07,1.1924115614023722e-07,0.21526683622703208,1.1924115614023722e-07,1.1924115614023722e-07,1.1924115614023722e-07,1.1924115614023722e-07,1.1924115614023722e-07,1.1924115614023722e-07,1.1924115614023722e-07,0.1765000216092546,1.1924115614023722e-07,1.1924115614023722e-07,1.1924115614023722e-07,1.1924115614023722e-07,0.1661420427926888,0.21192066696409484,1.1924115614023722e-07,1.1924115614023722e-07,1.1924115614023722e-07,1.1924115614023722e-07,1.1924115614023722e-07,1.1924115614023722e-07,1.1924115614023722e-07,1.1924115614023722e-07,1.1924115614023722e-07,0.2113274208133341,0.018839911323536088,1.1924115614023722e-07
中证1000增强,17.34035757092227,13.601838661689948,0.07062912703794538,0.4994551258490461,0.09327723533629957,0.014818275571612373,0.05347401151971716,0.012930443801105924,0.008709431199057344,6.993077999384395e-09,0.08322339151944878,0.012253274352065935,0.03322282029269631,0.03323348597836168,6.993077999384395e-09,0.021625215197061246,0.022384857707819235,0.03116567860336928,0.0487794620031079,0.023275827871657002,0.026213996686462494,6.993077999384395e-09,0.004220754042736813,0.13026227582492725,0.16537812031797186,0.02044182443185859,0.011876908265566734,0.014165065398741634,6.993077999384395e-09,6.993077999384395e-09,0.17389642048705842,0.0029285337013477434,0.04595632963549849,6.993077999384395e-09,6.993077999384395e-09,0.0036610559460948772,0.0019024906931087021
中证2000增强,20.455760805828323,12.642541961170474,0.06997911242704898,0.5019167576030182,0.10430369143219714,1.023601886142512e-08,0.022221936416586808,0.015789550530961042,0.03700910448990711,1.023601886142512e-08,0.15929804249517845,0.017483017675859244,0.018267946481939974,0.055172664119518725,0.03299085215872805,0.028152593637390196,0.016610540553864194,1.023601886142512e-08,0.025872377214416584,0.08663517413973407,0.026933074213740346,1.023601886142512e-08,1.023601886142512e-08,0.04561541600189233,0.12826810705037553,0.011009953984693097,0.04986338372691834,0.013156918046508785,1.023601886142512e-08,0.007935821539014804,0.07761394692162377,0.017820478969540927,0.01712405117011971,0.0058418904684097005,1.023601886142512e-08,0.0010884572717773007,0.08222462906916868
中证800增强,11.920553879671694,17.192329517221186,0.0659881040013018,0.4999248449341497,0.1860669692068171,0.02621286013073872,0.012979923399477268,0.013840596495182064,0.02437788082506287,2.356159370411931e-09,0.14971803670600237,0.007983844088506714,0.047224918308680176,0.05521873967690803,0.0020543851616242757,0.015784458652858,0.00817040154369072,0.016527624983694998,0.0051494270507920934,0.07254113318046912,0.036689850809777824,2.356159370411931e-09,2.356159370411931e-09,0.033028420991151816,0.2738898813594096,0.006709518302832301,0.031450121806411505,0.013825782855260647,2.356159370411931e-09,2.356159370411931e-09,0.022914983839644517,0.021966911855036426,0.02489243253118234,0.0451419213967855,2.356159370411931e-09,0.015531570394661586,0.016174359517202485
养殖etf增强,14.13457236425637,23.819721154219582,0.19603878970912555,0.5018570385496043,0.09368673286961345,3.577896368927746e-08,3.577896368927746e-08,3.577896368927746e-08,0.7251997450658446,3.577896368927746e-08,0.23329567009319171,3.577896368927746e-08,3.577896368927746e-08,0.031332180612082206,3.577896368927746e-08,3.577896368927746e-08,3.577896368927746e-08,3.577896368927746e-08,3.577896368927746e-08,3.577896368927746e-08,3.577896368927746e-08,3.577896368927746e-08,3.577896368927746e-08,3.577896368927746e-08,3.577896368927746e-08,3.577896368927746e-08,3.577896368927746e-08,3.577896368927746e-08,3.577896368927746e-08,3.577896368927746e-08,3.577896368927746e-08,3.577896368927746e-08,3.577896368927746e-08,3.577896368927746e-08,3.577896368927746e-08,3.577896368927746e-08,0.010171402417898202
军工etf增强,5.619405299227958,69.82864137086904,0.17409046440244047,0.49427325609269585,0.2549439644194186,3.4496678701508533e-07,3.4496678701508533e-07,3.4496678701508533e-07,3.4496678701508533e-07,3.4496678701508533e-07,3.4496678701508533e-07,3.4496678701508533e-07,0.7806115680796198,3.4496678701508533e-07,3.4496678701508533e-07,3.4496678701508533e-07,3.4496678701508533e-07,3.4496678701508533e-07,3.4496678701508533e-07,3.4496678701508533e-07,0.12203697104519856,3.4496678701508533e-07,3.4496678701508533e-07,3.4496678701508533e-07,0.09734145683835806,3.4496678701508533e-07,3.4496678701508533e-07,3.4496678701508533e-07,3.4496678701508533e-07,3.4496678701508533e-07,3.4496678701508533e-07,3.4496678701508533e-07,3.4496678701508533e-07,3.4496678701508533e-07,3.4496678701508533e-07,3.4496678701508533e-07,3.4496678701508533e-07
创业板增强,18.137319373068394,15.669704284852143,0.09933101226670187,0.49940805126617444,0.208572772636866,2.0475583897918987e-09,0.015966819983880606,2.0475583897918987e-09,0.013595314562391157,2.0475583897918987e-09,0.2630453282825587,2.0475583897918987e-09,0.020320905142174446,0.018093830425488348,2.0475583897918987e-09,2.0475583897918987e-09,2.0475583897918987e-09,2.0475583897918987e-09,2.0475583897918987e-09,0.036234840290706415,0.03490108498402229,2.0475583897918987e-09,2.0475583897918987e-09,0.1087674944809725,0.19473701186661532,2.0475583897918987e-09,0.012483635337653246,0.004670081483174214,2.0475583897918987e-09,0.054943796530856306,0.08779434151636749,2.0475583897918987e-09,0.11059297521031963,2.0475583897918987e-09,2.0475583897918987e-09,2.0475583897918987e-09,0.023852505094326813
动量趋势策略,170.34167023676872,0.5383743167859871,0.11229433729405484,0.4999496962818629,0.02854403234655389,0.0050073371264001704,0.011490575842947,0.007337667756779324,0.002078520887665758,0.000846362705086715,0.02208238777459598,0.013244953325469188,0.009436734219925665,0.0282709178433385,0.0041129186195150574,0.006062412832296071,0.014054531274442133,0.008051747530874726,0.021578294986551522,0.03236722712142018,0.022275235692549862,0.00026863431796700544,0.0037634422503017126,0.027149633686763375,0.037547780794053555,0.0029168561613968254,0.005045959074919382,0.010428175519075902,0.0009302295208564266,0.0013445667694692593,0.029384850886863555,0.012823272069788382,0.014999075022480176,0.0014742684982568472,1.018186106558662e-10,0.6379942039717381,0.005631225814392943
化工ETF优选策略,17.93394994578889,17.184698971289887,0.19954376662611986,0.5051588763442524,0.16368987479337943,2.3280667106130077e-08,2.3280667106130077e-08,2.3280667106130077e-08,2.3280667106130077e-08,0.6684142043230826,0.03050675424444473,2.3280667106130077e-08,2.3280667106130077e-08,0.11672396424945222,2.3280667106130077e-08,2.3280667106130077e-08,2.3280667106130077e-08,2.3280667106130077e-08,0.09175778704339595,2.3280667106130077e-08,2.3280667106130077e-08,2.3280667106130077e-08,2.3280667106130077e-08,2.3280667106130077e-08,2.3280667106130077e-08,0.09259666156161243,2.3280667106130077e-08,2.3280667106130077e-08,2.3280667106130077e-08,2.3280667106130077e-08,2.3280667106130077e-08,2.3280667106130077e-08,2.3280667106130077e-08,2.3280667106130077e-08,2.3280667106130077e-08,2.3280667106130077e-08,2.3280667106130077e-08
医疗etf增强,25.96989728643057,12.434114166545418,0.21124349131035947,0.4997936823657061,0.13916937193482423,3.1331039744824175e-08,3.1331039744824175e-08,3.1331039744824175e-08,3.1331039744824175e-08,3.1331039744824175e-08,0.9066198102562842,3.1331039744824175e-08,3.1331039744824175e-08,3.1331039744824175e-08,3.1331039744824175e-08,3.1331039744824175e-08,3.1331039744824175e-08,3.1331039744824175e-08,3.1331039744824175e-08,3.1331039744824175e-08,3.1331039744824175e-08,3.1331039744824175e-08,3.1331039744824175e-08,3.1331039744824175e-08,0.006555487461876308,3.1331039744824175e-08,3.1331039744824175e-08,3.1331039744824175e-08,3.1331039744824175e-08,0.056384279109641534,0.030439545903085004,3.1331039744824175e-08,3.1331039744824175e-08,3.1331039744824175e-08,3.1331039744824175e-08,3.1331039744824175e-08,3.1331039744824175e-08
半导体优选策略,7.750919590345711,46.04856985572402,0.22396334352187602,0.5168711844107673,0.10843243399388344,6.95674855330471e-08,6.95674855330471e-08,6.95674855330471e-08,6.95674855330471e-08,6.95674855330471e-08,6.95674855330471e-08,6.95674855330471e-08,6.95674855330471e-08,6.95674855330471e-08,6.95674855330471e-08,6.95674855330471e-08,6.95674855330471e-08,6.95674855330471e-08,6.95674855330471e-08,6.95674855330471e-08,6.95674855330471e-08,6.95674855330471e-08,6.95674855330471e-08,6.95674855330471e-08,0.9999978434079485,6.95674855330471e-08,6.95674855330471e-08,6.95674855330471e-08,6.95674855330471e-08,6.95674855330471e-08,6.95674855330471e-08,6.95674855330471e-08,6.95674855330471e-08,6.95674855330471e-08,6.95674855330471e-08,6.95674855330471e-08,6.95674855330471e-08
双创50增强,4.141378046365643,61.79916020082154,0.06852993865774704,0.5086031289321324,0.3928522637484911,3.897602620734114e-08,0.08114235810065171,3.897602620734114e-08,0.0033399727850670475,3.897602620734114e-08,0.1011478155687051,3.897602620734114e-08,0.00917655480038431,3.897602620734114e-08,3.897602620734114e-08,3.897602620734114e-08,3.897602620734114e-08,3.897602620734114e-08,0.007468468871209337,0.024259419881599773,3.897602620734114e-08,3.897602620734114e-08,3.897602620734114e-08,0.15061065320458694,0.3157583122026167,3.897602620734114e-08,3.897602620734114e-08,0.010593177147984485,3.897602620734114e-08,0.03205275364369687,0.12023944261668688,3.897602620734114e-08,0.11241789004003701,3.897602620734114e-08,3.897602620734114e-08,0.03179244059227589,3.897602620734114e-08
国企etf增强,24.42552586856884,11.83101959698536,0.1351091789469387,0.4998181939279535,0.04648746530635947,0.15680620592325203,0.013806726037052098,0.03533561611722285,0.013372995253507186,1.859188326444909e-08,0.08057768847419058,0.06463385170130209,1.859188326444909e-08,0.02091074188363021,1.859188326444909e-08,0.004233726521223791,0.10023165507177223,0.1297469480685415,1.859188326444909e-08,1.859188326444909e-08,0.03595835792648441,1.859188326444909e-08,1.859188326444909e-08,1.859188326444909e-08,0.02882606957836475,1.859188326444909e-08,0.09380737512916765,0.05047483679155063,1.859188326444909e-08,1.859188326444909e-08,0.004519669394899149,1.859188326444909e-08,1.859188326444909e-08,1.859188326444909e-08,0.07640480826373103,0.04549027328149306,0.04486219429624902
