client_idx,strategy_idx,is_match
0,101,1
0,347,0
0,265,0
0,184,0
0,36,0
1,41,1
1,86,0
1,191,0
1,256,0
1,187,0
2,12,1
2,363,0
2,78,0
2,227,0
2,448,0
3,84,1
3,75,0
3,231,0
3,422,0
3,104,0
4,231,1
4,448,0
4,379,0
4,369,0
4,341,0
5,198,1
5,320,0
5,421,0
5,47,0
5,397,0
6,169,1
6,207,0
6,228,0
6,210,0
6,296,0
7,381,1
7,463,0
7,276,0
7,295,0
7,369,0
8,198,1
8,121,0
8,228,0
8,234,0
8,6,0
9,135,1
9,461,0
9,110,0
9,290,0
9,377,0
10,41,1
10,423,0
10,88,0
10,271,0
10,53,0
11,402,1
11,147,0
11,190,0
11,73,0
11,158,0
12,407,1
12,98,0
12,142,0
12,357,0
12,317,0
13,177,1
13,5,0
13,242,0
13,448,0
13,421,0
14,402,1
14,317,0
14,471,0
14,36,0
14,293,0
15,271,1
15,438,0
15,174,0
15,372,0
15,66,0
16,399,1
16,225,0
16,185,0
16,496,0
16,33,0
17,164,1
17,45,0
17,382,0
17,81,0
17,142,0
18,492,1
18,124,0
18,17,0
18,164,0
18,143,0
19,7,1
19,463,0
19,117,0
19,220,0
19,418,0
20,338,1
20,176,0
20,413,0
20,416,0
20,141,0
21,169,1
21,445,0
21,194,0
21,470,0
21,355,0
22,381,1
22,389,0
22,63,0
22,390,0
22,396,0
23,198,1
23,344,0
23,301,0
23,330,0
23,138,0
24,339,1
24,253,0
24,92,0
24,277,0
24,30,0
25,415,1
25,106,0
25,193,0
25,486,0
25,329,0
26,402,1
26,309,0
26,210,0
26,411,0
26,432,0
27,407,1
27,150,0
27,116,0
27,275,0
27,478,0
28,399,1
28,444,0
28,375,0
28,56,0
28,78,0
29,198,1
29,253,0
29,287,0
29,5,0
29,413,0
30,135,1
30,478,0
30,320,0
30,182,0
30,482,0
31,415,1
31,52,0
31,156,0
31,359,0
31,345,0
32,32,1
32,277,0
32,24,0
32,150,0
32,160,0
33,101,1
33,80,0
33,113,0
33,341,0
33,234,0
34,347,1
34,378,0
34,63,0
34,387,0
34,115,0
35,182,1
35,49,0
35,394,0
35,55,0
35,414,0
36,135,1
36,346,0
36,181,0
36,65,0
36,114,0
37,415,1
37,107,0
37,83,0
37,283,0
37,180,0
38,198,1
38,65,0
38,124,0
38,144,0
38,477,0
39,169,1
39,216,0
39,6,0
39,160,0
39,284,0
40,75,1
40,470,0
40,296,0
40,181,0
40,441,0
41,402,1
41,219,0
41,6,0
41,39,0
41,88,0
42,339,1
42,269,0
42,236,0
42,438,0
42,453,0
43,399,1
43,237,0
43,387,0
43,249,0
43,39,0
44,402,1
44,158,0
44,153,0
44,172,0
44,20,0
45,339,1
45,478,0
45,448,0
45,225,0
45,223,0
46,7,1
46,384,0
46,439,0
46,277,0
46,489,0
47,198,1
47,214,0
47,252,0
47,286,0
47,438,0
48,101,1
48,318,0
48,252,0
48,86,0
48,483,0
49,381,1
49,238,0
49,293,0
49,356,0
49,271,0
50,198,1
50,218,0
50,152,0
50,132,0
50,301,0
51,407,1
51,488,0
51,308,0
51,349,0
51,275,0
52,415,1
52,439,0
52,379,0
52,34,0
52,474,0
53,402,1
53,275,0
53,354,0
53,147,0
53,223,0
54,101,1
54,273,0
54,427,0
54,380,0
54,25,0
55,245,1
55,169,0
55,293,0
55,280,0
55,257,0
56,198,1
56,86,0
56,312,0
56,227,0
56,221,0
57,101,1
57,451,0
57,98,0
57,290,0
57,494,0
58,399,1
58,188,0
58,78,0
58,463,0
58,319,0
59,338,1
59,475,0
59,330,0
59,289,0
59,144,0
60,407,1
60,376,0
60,262,0
60,208,0
60,120,0
61,347,1
61,21,0
61,220,0
61,156,0
61,219,0
62,338,1
62,475,0
62,424,0
62,135,0
62,288,0
63,407,1
63,482,0
63,375,0
63,343,0
63,55,0
64,41,1
64,359,0
64,155,0
64,40,0
64,471,0
65,27,1
65,379,0
65,258,0
65,107,0
65,443,0
66,407,1
66,364,0
66,71,0
66,82,0
66,215,0
67,399,1
67,233,0
67,118,0
67,69,0
67,486,0
68,198,1
68,23,0
68,116,0
68,191,0
68,11,0
69,152,1
69,302,0
69,8,0
69,443,0
69,213,0
70,75,1
70,138,0
70,215,0
70,122,0
70,375,0
71,470,1
71,416,0
71,3,0
71,106,0
71,80,0
72,407,1
72,223,0
72,207,0
72,177,0
72,19,0
73,43,1
73,249,0
73,219,0
73,426,0
73,21,0
74,28,1
74,336,0
74,91,0
74,371,0
74,387,0
75,407,1
75,363,0
75,270,0
75,35,0
75,336,0
76,415,1
76,115,0
76,373,0
76,95,0
76,453,0
77,164,1
77,323,0
77,327,0
77,72,0
77,141,0
78,339,1
78,401,0
78,12,0
78,176,0
78,354,0
79,415,1
79,141,0
79,151,0
79,348,0
79,208,0
80,402,1
80,456,0
80,171,0
80,319,0
80,389,0
81,339,1
81,80,0
81,381,0
81,387,0
81,3,0
82,347,1
82,16,0
82,225,0
82,309,0
82,92,0
83,198,1
83,36,0
83,30,0
83,138,0
83,253,0
84,135,1
84,479,0
84,235,0
84,139,0
84,278,0
85,43,1
85,458,0
85,4,0
85,464,0
85,88,0
86,402,1
86,149,0
86,122,0
86,471,0
86,370,0
87,339,1
87,263,0
87,4,0
87,398,0
87,395,0
88,41,1
88,151,0
88,375,0
88,249,0
88,271,0
89,440,1
89,0,0
89,446,0
89,73,0
89,385,0
90,169,1
90,152,0
90,194,0
90,182,0
90,393,0
91,347,1
91,420,0
91,112,0
91,379,0
91,411,0
92,338,1
92,200,0
92,71,0
92,491,0
92,101,0
93,152,1
93,375,0
93,270,0
93,317,0
93,103,0
94,245,1
94,45,0
94,249,0
94,335,0
94,326,0
95,232,1
95,456,0
95,486,0
95,226,0
95,495,0
96,407,1
96,317,0
96,75,0
96,37,0
96,493,0
97,41,1
97,54,0
97,172,0
97,356,0
97,111,0
98,164,1
98,119,0
98,166,0
98,456,0
98,187,0
99,237,1
99,297,0
99,484,0
99,417,0
99,116,0
100,41,1
100,227,0
100,354,0
100,64,0
100,56,0
101,198,1
101,194,0
101,139,0
101,191,0
101,58,0
102,135,1
102,259,0
102,11,0
102,173,0
102,138,0
103,245,1
103,135,0
103,389,0
103,23,0
103,42,0
104,402,1
104,462,0
104,432,0
104,253,0
104,312,0
105,135,1
105,218,0
105,262,0
105,244,0
105,18,0
106,399,1
106,190,0
106,486,0
106,305,0
106,38,0
107,402,1
107,226,0
107,172,0
107,256,0
107,17,0
108,407,1
108,212,0
108,488,0
108,79,0
108,3,0
109,399,1
109,248,0
109,243,0
109,23,0
109,136,0
110,198,1
110,343,0
110,43,0
110,363,0
110,51,0
111,101,1
111,132,0
111,274,0
111,302,0
111,150,0
112,483,1
112,183,0
112,452,0
112,228,0
112,396,0
113,198,1
113,207,0
113,36,0
113,428,0
113,6,0
114,339,1
114,83,0
114,8,0
114,249,0
114,309,0
115,231,1
115,233,0
115,289,0
115,496,0
115,379,0
116,198,1
116,362,0
116,215,0
116,345,0
116,138,0
117,0,1
117,72,0
117,9,0
117,201,0
117,499,0
118,399,1
118,309,0
118,361,0
118,225,0
118,395,0
119,198,1
119,141,0
119,330,0
119,485,0
119,452,0
120,407,1
120,172,0
120,493,0
120,443,0
120,168,0
121,41,1
121,492,0
121,182,0
121,227,0
121,86,0
122,80,1
122,389,0
122,24,0
122,479,0
122,209,0
123,407,1
123,280,0
123,218,0
123,116,0
123,182,0
124,61,1
124,330,0
124,49,0
124,40,0
124,146,0
125,338,1
125,83,0
125,248,0
125,398,0
125,278,0
126,135,1
126,37,0
126,205,0
126,1,0
126,17,0
127,381,1
127,191,0
127,390,0
127,192,0
127,156,0
128,402,1
128,277,0
128,394,0
128,64,0
128,151,0
129,339,1
129,80,0
129,71,0
129,207,0
129,137,0
130,43,1
130,194,0
130,72,0
130,252,0
130,131,0
131,402,1
131,90,0
131,166,0
131,246,0
131,330,0
132,339,1
132,427,0
132,422,0
132,380,0
132,474,0
133,415,1
133,193,0
133,248,0
133,418,0
133,288,0
134,236,1
134,396,0
134,237,0
134,214,0
134,194,0
135,135,1
135,314,0
135,290,0
135,6,0
135,357,0
136,245,1
136,280,0
136,376,0
136,276,0
136,373,0
137,402,1
137,294,0
137,280,0
137,151,0
137,471,0
138,407,1
138,132,0
138,225,0
138,286,0
138,210,0
139,415,1
139,238,0
139,445,0
139,482,0
139,269,0
140,182,1
140,90,0
140,74,0
140,218,0
140,149,0
141,407,1
141,342,0
141,449,0
141,256,0
141,280,0
142,245,1
142,452,0
142,24,0
142,105,0
142,441,0
143,470,1
143,19,0
143,89,0
143,391,0
143,234,0
144,339,1
144,109,0
144,257,0
144,278,0
144,14,0
145,41,1
145,294,0
145,53,0
145,117,0
145,291,0
146,402,1
146,172,0
146,455,0
146,348,0
146,176,0
147,135,1
147,99,0
147,315,0
147,37,0
147,23,0
148,415,1
148,21,0
148,327,0
148,141,0
148,146,0
149,402,1
149,78,0
149,456,0
149,472,0
149,56,0
150,407,1
150,286,0
150,358,0
150,72,0
150,41,0
151,75,1
151,73,0
151,36,0
151,387,0
151,427,0
152,198,1
152,464,0
152,226,0
152,6,0
152,460,0
153,407,1
153,155,0
153,304,0
153,337,0
153,342,0
154,7,1
154,294,0
154,290,0
154,169,0
154,316,0
155,402,1
155,21,0
155,360,0
155,145,0
155,212,0
156,224,1
156,399,0
156,395,0
156,201,0
156,208,0
157,245,1
157,460,0
157,446,0
157,487,0
157,384,0
158,27,1
158,312,0
158,149,0
158,111,0
158,247,0
159,33,1
159,216,0
159,53,0
159,450,0
159,474,0
160,43,1
160,29,0
160,131,0
160,447,0
160,44,0
161,402,1
161,225,0
161,13,0
161,466,0
161,105,0
162,339,1
162,154,0
162,323,0
162,193,0
162,225,0
163,399,1
163,309,0
163,260,0
163,445,0
163,327,0
164,338,1
164,142,0
164,262,0
164,8,0
164,2,0
165,101,1
165,432,0
165,344,0
165,383,0
165,410,0
166,347,1
166,460,0
166,79,0
166,216,0
166,301,0
167,470,1
167,140,0
167,119,0
167,145,0
167,384,0
168,339,1
168,377,0
168,268,0
168,119,0
168,93,0
169,440,1
169,317,0
169,280,0
169,70,0
169,376,0
170,402,1
170,224,0
170,166,0
170,319,0
170,142,0
171,152,1
171,108,0
171,95,0
171,58,0
171,383,0
172,347,1
172,276,0
172,310,0
172,410,0
172,13,0
173,402,1
173,246,0
173,219,0
173,111,0
173,30,0
174,101,1
174,494,0
174,364,0
174,66,0
174,302,0
175,75,1
175,396,0
175,335,0
175,156,0
175,320,0
176,402,1
176,329,0
176,83,0
176,384,0
176,178,0
177,101,1
177,393,0
177,367,0
177,291,0
177,168,0
178,347,1
178,419,0
178,260,0
178,63,0
178,121,0
179,470,1
179,115,0
179,478,0
179,194,0
179,5,0
180,407,1
180,275,0
180,397,0
180,327,0
180,269,0
181,245,1
181,413,0
181,209,0
181,494,0
181,492,0
182,32,1
182,24,0
182,194,0
182,149,0
182,11,0
183,101,1
183,466,0
183,30,0
183,132,0
183,234,0
184,41,1
184,209,0
184,214,0
184,237,0
184,460,0
185,402,1
185,353,0
185,91,0
185,185,0
185,23,0
186,407,1
186,134,0
186,425,0
186,247,0
186,491,0
187,347,1
187,20,0
187,180,0
187,169,0
187,254,0
188,198,1
188,287,0
188,147,0
188,253,0
188,1,0
189,407,1
189,109,0
189,491,0
189,279,0
189,167,0
190,41,1
190,199,0
190,146,0
190,70,0
190,219,0
191,164,1
191,388,0
191,233,0
191,125,0
191,426,0
192,339,1
192,415,0
192,35,0
192,7,0
192,375,0
193,143,1
193,363,0
193,466,0
193,11,0
193,471,0
194,470,1
194,14,0
194,212,0
194,55,0
194,243,0
195,339,1
195,48,0
195,6,0
195,302,0
195,24,0
196,347,1
196,291,0
196,42,0
196,448,0
196,174,0
197,402,1
197,438,0
197,126,0
197,351,0
197,489,0
198,339,1
198,161,0
198,27,0
198,348,0
198,420,0
199,61,1
199,364,0
199,392,0
199,248,0
199,210,0
